"sample","Stage","ID","observed","chao1","simpson","shannon","evenness"
"RSZYD17050371_A","After","P58",293,293,0.478946710721345,1.59988775427514,0.281661819877688
"RSZYD17042763_A","Before","P61",271,271,0.830727514976828,2.38011290696691,0.424859411781123
"RSZYD17050357_A","After","P61",262,262,0.841849543094113,2.41055332459554,0.432903050981733
"RSZYD17042774_A","Before","P62",254,254,0.66270584635085,2.08859281670655,0.377183806501735
"RSZYD17050403_A","After","P62",265,265,0.575477464960326,1.7128658138763,0.306980063066682
"RSZYD17042773_A","Before","P66",232,232,0.639728501214011,1.53884821171728,0.282526603856889
"RSZYD17050377_A","After","P66",246,246,0.67422074911457,1.69735287904541,0.308310747130681
"RSZYD17042759_A","Before","P67",256,256,0.761268921231968,2.01558440782293,0.363484203707407
"RSZYD17050359_A","After","P67",249,249,0.797955837309744,2.09101415120321,0.378981785697349
"RSZYD17042811_A","Before","P68",250,250,0.743391977420317,2.01889799574237,0.365645619117055
"RSZYD17050351_A","After","P68",254,254,0.741357025337018,2.09359526905202,0.378087210938644
"RSZYD17042775_A","Before","P69",305,305,0.624887420013903,1.59883878844231,0.279502036056948
"RSZYD17050360_A","After","P69",273,273,0.654493892781677,1.77050015914149,0.315626893901356
"RSZYD17042757_A","Before","P72",262,262,0.609311831991968,1.68329451164946,0.302297120896973
"RSZYD17050350_A","After","P72",283,283,0.6501088973799,1.86936027382615,0.331127067124931
"RSZYD17042767_A","Before","P73",303,303,0.762858572019067,1.9637741396799,0.34369372991792
"RSZYD17050349_A","After","P73",309,309,0.771241492930091,2.11124856451937,0.368240518496004
"RSZYD17042776_A","Before","P75",257,257,0.751868280164304,2.22930786387668,0.401743971387405
"RSZYD17050361_A","After","P75",242,242,0.782765004941237,2.30999114058408,0.420844843907806
"RSZYD17042780_A","Before","P78",287,287,0.728469532576183,2.10017738211293,0.371090022381322
"RSZYD17050354_A","After","P78",290,290,0.571086139827642,1.7925109032453,0.316146128568608
"RSZYD17042771_A","Before","P79",290,290,0.78754722353703,2.33725772480918,0.412223423482506
"RSZYD17050370_A","After","P79",273,273,0.759711946333014,2.27189711795207,0.405010881755785
"RSZYD17042778_A","Before","P81",277,277,0.794847614215571,2.38095044339555,0.423354024196424
"RSZYD17050355_A","After","P81",285,285,0.778928576373135,2.31186959059223,0.409000268176073
"RSZYD17042822_A","Before","P82",308,308,0.474796192605569,1.23631469801215,0.215757970164103
"RSZYD17050374_A","After","P82",275,275,0.476674668172492,1.38866122291288,0.247234790018377
"RSZYD17042777_A","Before","P83",281,281,0.730385506190894,2.05697656664689,0.364818584016097
"RSZYD17050376_A","After","P83",286,286,0.700818130515523,1.87909670850386,0.332231157921617
"RSZYD17042801_A","Before","P85",253,253,0.368504780036272,1.10939563024277,0.200491151490927
"RSZYD17050385_A","After","P85",290,290,0.455107983444787,1.37588352751054,0.242665330401202
"RSZYD17042796_A","Before","P86",231,231,0.615119929967614,1.82183052414406,0.334746544834648
"RSZYD17050395_A","After","P86",234,234,0.735850786786881,2.13855696389041,0.392013030703178
