,type,Block,Number,Paired,Pvalue,FDR,Enrich_median,Enrich_rank,g0_occurence,g1_occurence,median_all,g0_median,g1_median,g0_rank,g1_rank,Odds Ratio (95% CI)
22,PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type,g0_vs_g1,g045_vs_g144,89,0.0279857,0.424516421052632,No significance,g1,0.3111,0.4773,0,0,0,39.74,50.38,1.1 (1.3;0.9)
23,PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.0327461,0.424516421052632,g0,g0,1,1,0.009661,0.01046,0.008986,50.78,39.09,0.69 (-0.019;1.4)
24,PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate.,g0_vs_g1,g045_vs_g144,89,0.0334347,0.424516421052632,g1,g1,1,1,0.002129,0.001933,0.002321,39.24,50.89,1.2 (1.6;0.83)
25,ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.,g0_vs_g1,g045_vs_g144,89,0.0341355,0.424516421052632,g1,g1,1,1,0.004594,0.003915,0.005423,39.27,50.86,1.2 (1.5;0.87)
26,PWY.3781..aerobic.respiration.I..cytochrome.c.,g0_vs_g1,g045_vs_g144,89,0.0342275,0.424516421052632,No significance,g1,0.0667,0.2273,0,0,0,41.47,48.61,1.2 (1.5;0.87)
27,X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.0348487,0.424516421052632,g0,g0,1,1,0.01042,0.01104,0.01022,50.71,39.16,0.72 (0.073;1.4)
28,PWY.7279..aerobic.respiration.II..cytochrome.c...yeast.,g0_vs_g1,g045_vs_g144,89,0.0353765,0.424516421052632,No significance,g1,0.0667,0.2273,0,0,0,41.49,48.59,1.2 (1.5;0.87)
29,PWY.5695..urate.biosynthesis.inosine.5.phosphate.degradation,g0_vs_g1,g045_vs_g144,89,0.0363129,0.424516421052632,g0,g0,1,1,0.01322,0.0138,0.01207,50.67,39.2,0.72 (0.06;1.4)
30,FUCCAT.PWY..fucose.degradation,g0_vs_g1,g045_vs_g144,89,0.0367539,0.424516421052632,g1,g1,0.9556,0.9773,0.0003921,0.0002564,0.0004921,39.33,50.8,1.1 (1.2;0.93)
31,ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.0378286,0.424516421052632,g0,g0,1,1,0.005145,0.00544,0.004803,50.62,39.25,0.67 (-0.11;1.5)
32,PWY.5367..petroselinate.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.0379627,0.424516421052632,g1,g1,0.8,0.9091,0.000885,0.000656,0.001197,39.38,50.75,1.1 (1.2;0.95)
33,PWY.6353..purine.nucleotides.degradation.II..aerobic.,g0_vs_g1,g045_vs_g144,89,0.0410202,0.424516421052632,g1,g1,1,1,0.0009512,0.0008798,0.001205,39.47,50.66,1.1 (1.3;0.9)
34,PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.,g0_vs_g1,g045_vs_g144,89,0.0453243,0.424516421052632,g0,g0,1,1,0.01138,0.01213,0.01044,50.42,39.45,0.76 (0.22;1.3)
35,SALVADEHYPOX.PWY..adenosine.nucleotides.degradation.II,g0_vs_g1,g045_vs_g144,89,0.0453243,0.424516421052632,g1,g1,1,1,0.0007078,0.0005392,0.0008027,39.58,50.55,1.1 (1.3;0.9)
36,FERMENTATION.PWY..mixed.acid.fermentation,g0_vs_g1,g045_vs_g144,89,0.0465606,0.424516421052632,g1,g1,0.9111,0.9545,0.0002855,0.0002165,0.0004222,39.6,50.52,1.1 (1.2;0.94)
37,PENTOSE.P.PWY..pentose.phosphate.pathway,g0_vs_g1,g045_vs_g144,89,0.0509799,0.424516421052632,No significance,No significance,1,1,0.001387,0.001173,0.001649,39.71,50.41,1.1 (1.3;0.91)
38,PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.,g0_vs_g1,g045_vs_g144,89,0.0509799,0.424516421052632,No significance,No significance,1,1,0.003674,0.003997,0.003212,50.29,39.59,0.83 (0.48;1.2)
39,PWY.6612..superpathway.of.tetrahydrofolate.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.0527884,0.424516421052632,No significance,No significance,0.9778,0.9773,0.0003766,0.0002624,0.0006069,39.74,50.38,1.1 (1.2;0.94)
40,P23.PWY..reductive.TCA.cycle.I,g0_vs_g1,g045_vs_g144,89,0.0536995,0.424516421052632,No significance,No significance,0.3111,0.4545,0,0,0,40.42,49.68,1.1 (1.3;0.9)
41,ANAEROFRUCAT.PWY..homolactic.fermentation,g0_vs_g1,g045_vs_g144,89,0.0561287,0.424516421052632,No significance,No significance,1,1,0.004609,0.004852,0.004248,50.18,39.7,0.75 (0.2;1.3)
42,COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.,g0_vs_g1,g045_vs_g144,89,0.0561287,0.424516421052632,No significance,No significance,1,1,0.01463,0.01476,0.01421,50.18,39.7,0.74 (0.16;1.3)
43,PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.0561287,0.424516421052632,No significance,No significance,1,1,0.008083,0.008717,0.007489,50.18,39.7,0.76 (0.24;1.3)
44,SULFATE.CYS.PWY..superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.0561287,0.424516421052632,No significance,No significance,1,1,0.0006899,0.000506,0.0008504,39.82,50.3,1.1 (1.3;0.91)
45,PWY0.1261..anhydromuropeptides.recycling,g0_vs_g1,g045_vs_g144,89,0.0569332,0.424516421052632,No significance,No significance,0.9778,0.9773,0.001025,0.0008618,0.001224,39.83,50.28,1.1 (1.2;0.93)
46,PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.,g0_vs_g1,g045_vs_g144,89,0.0572083,0.424516421052632,No significance,No significance,1,1,0.005563,0.005816,0.005358,50.16,39.73,0.69 (-0.049;1.4)
47,FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage,g0_vs_g1,g045_vs_g144,89,0.0591051,0.424516421052632,No significance,No significance,0.9778,0.9773,0.0005579,0.000387,0.0008703,39.88,50.24,1.1 (1.2;0.94)
48,PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.0594186,0.424516421052632,No significance,No significance,1,1,0.00449,0.005003,0.004086,50.11,39.77,0.81 (0.41;1.2)
49,PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.0594186,0.424516421052632,No significance,No significance,1,1,0.00449,0.005003,0.004086,50.11,39.77,0.81 (0.41;1.2)
50,PWY.5484..glycolysis.II..from.fructose.6.phosphate.,g0_vs_g1,g045_vs_g144,89,0.0605498,0.424516421052632,No significance,No significance,1,1,0.003164,0.003583,0.00262,50.09,39.8,0.85 (0.53;1.2)
51,PWY.6263..superpathway.of.menaquinol.8.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.062794,0.424516421052632,No significance,No significance,0.4222,0.6364,2.701e-05,0,7.856e-05,40.22,49.89,1.1 (1.2;0.94)
52,PWY.5083..NAD.NADH.phosphorylation.and.dephosphorylation,g0_vs_g1,g045_vs_g144,89,0.0630611,0.424516421052632,No significance,No significance,0.9111,1,0.0002945,0.0002174,0.0003301,39.96,50.16,1.1 (1.2;0.94)
53,PWY.5897..superpathway.of.menaquinol.11.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.0659976,0.424516421052632,No significance,No significance,0.8889,0.9773,0.0008673,0.0008307,0.0009339,40.01,50.1,1.1 (1.3;0.91)
54,PWY.5898..superpathway.of.menaquinol.12.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.0659976,0.424516421052632,No significance,No significance,0.8889,0.9773,0.0008673,0.0008307,0.0009339,40.01,50.1,1.1 (1.3;0.91)
55,PWY.5899..superpathway.of.menaquinol.13.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.0659976,0.424516421052632,No significance,No significance,0.8889,0.9773,0.0008673,0.0008307,0.0009339,40.01,50.1,1.1 (1.3;0.91)
56,PWY.5791..1.4.dihydroxy.2.naphthoate.biosynthesis.II..plants.,g0_vs_g1,g045_vs_g144,89,0.0672151,0.424516421052632,No significance,No significance,0.8889,0.9773,0.0003003,0.0002884,0.0003266,40.03,50.08,1.1 (1.3;0.92)
57,PWY.5837..1.4.dihydroxy.2.naphthoate.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.0672151,0.424516421052632,No significance,No significance,0.8889,0.9773,0.0003003,0.0002884,0.0003266,40.03,50.08,1.1 (1.3;0.92)
58,ARGORNPROST.PWY..arginine..ornithine.and.proline.interconversion,g0_vs_g1,g045_vs_g144,89,0.0693295,0.430321034482759,No significance,No significance,0.5111,0.7045,5.755e-05,3.639e-05,8.708e-05,40.22,49.89,1.1 (1.3;0.92)
59,ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis,g0_vs_g1,g045_vs_g144,89,0.0741968,0.447289756097561,No significance,No significance,1,1,0.005126,0.005308,0.004666,49.84,40.05,0.89 (0.65;1.1)
60,PWY.5913..TCA.cycle.VI..obligate.autotrophs.,g0_vs_g1,g045_vs_g144,89,0.0767842,0.447289756097561,No significance,No significance,0.8667,0.9091,8.631e-05,7.27e-05,0.0001091,40.2,49.91,1 (1.1;0.96)
61,PWY.5173..superpathway.of.acetyl.CoA.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.0816983,0.447289756097561,No significance,No significance,0.8444,0.9318,9.578e-05,6.82e-05,0.000139,40.28,49.83,1.1 (1.2;0.95)
62,GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.,g0_vs_g1,g045_vs_g144,89,0.0826302,0.447289756097561,No significance,No significance,1,1,0.003195,0.003576,0.002656,49.71,40.18,0.85 (0.55;1.2)
63,PWY.4981..L.proline.biosynthesis.II..from.arginine.,g0_vs_g1,g045_vs_g144,89,0.0826302,0.447289756097561,No significance,No significance,1,1,0.0006515,0.0006359,0.0007859,40.29,49.82,1.1 (1.2;0.95)
64,PWY.5863..superpathway.of.phylloquinol.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.0832546,0.447289756097561,No significance,No significance,0.8889,0.9318,0.0002577,0.0002165,0.0003365,40.3,49.81,1.1 (1.3;0.92)
65,ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.,g0_vs_g1,g045_vs_g144,89,0.0871263,0.447289756097561,No significance,No significance,1,1,0.002965,0.002301,0.003277,40.36,49.75,1.1 (1.3;0.92)
66,THISYNARA.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.III..eukaryotes.,g0_vs_g1,g045_vs_g144,89,0.0886676,0.447289756097561,No significance,No significance,1,1,0.005052,0.005169,0.004633,49.62,40.27,0.76 (0.22;1.3)
67,PWY0.1241..ADP.L.glycero..beta..D.manno.heptose.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.0893351,0.447289756097561,No significance,No significance,0.8889,0.9773,0.000182,0.0001266,0.0002417,40.39,49.72,1.1 (1.2;0.95)
68,REDCITCYC..TCA.cycle.VIII..helicobacter.,g0_vs_g1,g045_vs_g144,89,0.0901316,0.447289756097561,No significance,No significance,0.9111,0.9773,0.0002139,0.0001756,0.000266,40.4,49.7,1.1 (1.2;0.93)
69,UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.0918156,0.447289756097561,No significance,No significance,1,0.9773,0.001005,0.0008044,0.00163,40.42,49.68,1.1 (1.2;0.95)
70,PWY.5723..Rubisco.shunt,g0_vs_g1,g045_vs_g144,89,0.0928109,0.447289756097561,No significance,No significance,0.8222,0.8864,0.0002959,0.0002771,0.0003267,40.44,49.66,1.1 (1.2;0.95)
71,NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.II,g0_vs_g1,g045_vs_g144,89,0.0933128,0.447289756097561,No significance,No significance,0.9333,1,0.0002512,0.0001809,0.0003481,40.44,49.66,1.1 (1.2;0.95)
72,PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.0967035,0.447289756097561,No significance,No significance,1,1,0.005257,0.005407,0.004793,49.51,40.39,0.86 (0.55;1.2)
73,OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli.,g0_vs_g1,g045_vs_g144,89,0.0983778,0.447289756097561,No significance,No significance,1,0.9773,0.001344,0.001248,0.00181,40.51,49.59,1.1 (1.2;0.94)
74,PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.100075,0.447289756097561,No significance,No significance,1,1,0.006401,0.007248,0.005878,49.47,40.43,0.83 (0.45;1.2)
75,DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.101795,0.447289756097561,No significance,No significance,1,1,0.007507,0.00826,0.007076,49.44,40.45,0.85 (0.55;1.2)
76,PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.101795,0.447289756097561,No significance,No significance,1,1,0.007342,0.007846,0.006943,49.44,40.45,0.82 (0.44;1.2)
77,PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.,g0_vs_g1,g045_vs_g144,89,0.102799,0.447289756097561,No significance,No significance,0.6667,0.8636,0.0004603,0.0003634,0.0005778,40.6,49.5,1.1 (1.2;0.93)
78,PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.,g0_vs_g1,g045_vs_g144,89,0.104542,0.447289756097561,No significance,No significance,0.8,0.9091,0.0006674,0.0006534,0.0007639,40.6,49.5,1.1 (1.2;0.94)
79,PWY.6901..superpathway.of.glucose.and.xylose.degradation,g0_vs_g1,g045_vs_g144,89,0.105305,0.447289756097561,No significance,No significance,1,1,0.001417,0.001299,0.001596,40.6,49.5,1.1 (1.3;0.91)
80,PWY0.781..aspartate.superpathway,g0_vs_g1,g045_vs_g144,89,0.105305,0.447289756097561,No significance,No significance,1,1,0.001395,0.001276,0.001677,40.6,49.5,1.1 (1.3;0.9)
81,PWY.5855..ubiquinol.7.biosynthesis..prokaryotic.,g0_vs_g1,g045_vs_g144,89,0.105406,0.447289756097561,No significance,No significance,0.7333,0.8636,0.0001205,8.786e-05,0.0001352,40.62,49.48,1.1 (1.2;0.95)
82,PWY.5856..ubiquinol.9.biosynthesis..prokaryotic.,g0_vs_g1,g045_vs_g144,89,0.105406,0.447289756097561,No significance,No significance,0.7333,0.8636,0.0001205,8.786e-05,0.0001352,40.62,49.48,1.1 (1.2;0.95)
83,PWY.5857..ubiquinol.10.biosynthesis..prokaryotic.,g0_vs_g1,g045_vs_g144,89,0.105406,0.447289756097561,No significance,No significance,0.7333,0.8636,0.0001205,8.786e-05,0.0001352,40.62,49.48,1.1 (1.2;0.95)
84,PWY.6708..ubiquinol.8.biosynthesis..prokaryotic.,g0_vs_g1,g045_vs_g144,89,0.105406,0.447289756097561,No significance,No significance,0.7333,0.8636,0.0001205,8.786e-05,0.0001352,40.62,49.48,1.1 (1.2;0.95)
85,PWY.5840..superpathway.of.menaquinol.7.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.106728,0.447289756097561,No significance,No significance,0.8667,0.9545,0.0006714,0.0006018,0.000699,40.62,49.48,1.1 (1.3;0.92)
86,PWY0.1479..tRNA.processing,g0_vs_g1,g045_vs_g144,89,0.107225,0.447289756097561,No significance,No significance,0.6,0.7273,7.528e-05,4.185e-05,0.0002051,40.71,49.39,1 (1.1;0.96)
87,PWY.6803..phosphatidylcholine.acyl.editing,g0_vs_g1,g045_vs_g144,89,0.108102,0.447289756097561,No significance,No significance,0.8222,0.8864,0.0001505,0.0001168,0.0002156,40.64,49.45,1 (1.1;0.96)
88,HISDEG.PWY..L.histidine.degradation.I,g0_vs_g1,g045_vs_g144,89,0.11261,0.447289756097561,No significance,No significance,0.9778,1,0.0003315,0.000222,0.000364,40.69,49.41,1.1 (1.2;0.94)
89,PWY.6168..flavin.biosynthesis.III..fungi.,g0_vs_g1,g045_vs_g144,89,0.11261,0.447289756097561,No significance,No significance,1,1,0.00647,0.006774,0.006247,49.31,40.59,0.76 (0.24;1.3)
90,ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.114497,0.447289756097561,No significance,No significance,1,1,0.001561,0.001136,0.001781,40.71,49.39,1.1 (1.2;0.93)
91,P122.PWY..heterolactic.fermentation,g0_vs_g1,g045_vs_g144,89,0.114806,0.447289756097561,No significance,No significance,0.8222,0.7955,0.0001057,3.969e-05,0.0002074,40.73,49.36,1 (1.1;0.96)
92,PWY.5088..L.glutamate.degradation.VIII..to.propanoate.,g0_vs_g1,g045_vs_g144,89,0.115242,0.447289756097561,No significance,No significance,0.1111,0.25,0,0,0,42.13,47.93,1.1 (1.2;0.94)
93,PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type,g0_vs_g1,g045_vs_g144,89,0.117204,0.447289756097561,No significance,No significance,0.2667,0.3864,0,0,0,41.46,48.62,1.1 (1.4;0.89)
94,UBISYN.PWY..superpathway.of.ubiquinol.8.biosynthesis..prokaryotic.,g0_vs_g1,g045_vs_g144,89,0.122638,0.447289756097561,No significance,No significance,0.6667,0.8182,8.036e-05,6.24e-05,9.471e-05,40.84,49.25,1.1 (1.2;0.95)
95,ECASYN.PWY..enterobacterial.common.antigen.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.125219,0.447289756097561,No significance,No significance,0.6444,0.7727,5.808e-05,4.421e-05,7.365e-05,40.89,49.2,1.1 (1.1;0.95)
96,PWY0.1061..superpathway.of.L.alanine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.126338,0.447289756097561,No significance,No significance,0.9778,1,0.0004459,0.0003657,0.0006349,40.84,49.25,1.1 (1.2;0.94)
97,FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,g0_vs_g1,g045_vs_g144,89,0.130925,0.447289756097561,No significance,No significance,0.8889,0.9318,0.0003832,0.0003678,0.0004645,40.9,49.19,1 (1.1;0.96)
98,PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.,g0_vs_g1,g045_vs_g144,89,0.131975,0.447289756097561,No significance,No significance,0.8667,0.9545,0.0001891,0.0001567,0.0002431,40.91,49.18,1.1 (1.1;0.95)
99,P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.,g0_vs_g1,g045_vs_g144,89,0.132698,0.447289756097561,No significance,No significance,0.8444,0.8864,0.0003115,0.0002581,0.0003715,40.92,49.17,1.1 (1.1;0.95)
100,PWY.6969..TCA.cycle.V..2.oxoglutarate.ferredoxin.oxidoreductase.,g0_vs_g1,g045_vs_g144,89,0.134742,0.447289756097561,No significance,No significance,0.9778,1,0.001478,0.001267,0.001622,40.93,49.16,1.1 (1.3;0.91)
101,PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.136324,0.447289756097561,No significance,No significance,0.8,0.8409,0.0004476,0.0003811,0.0005039,40.97,49.12,1.1 (1.2;0.95)
102,PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.136635,0.447289756097561,No significance,No significance,0.7556,0.8182,0.0002527,0.0001872,0.0002668,40.98,49.11,1.1 (1.2;0.94)
103,PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.136635,0.447289756097561,No significance,No significance,0.7556,0.8182,0.0002527,0.0001872,0.0002668,40.98,49.11,1.1 (1.2;0.94)
104,CALVIN.PWY..Calvin.Benson.Bassham.cycle,g0_vs_g1,g045_vs_g144,89,0.136908,0.447289756097561,No significance,No significance,1,1,0.008584,0.008932,0.008487,49.04,40.86,0.79 (0.34;1.2)
105,PWY.7282..4.amino.2.methyl.5.phosphomethylpyrimidine.biosynthesis..yeast.,g0_vs_g1,g045_vs_g144,89,0.136908,0.447289756097561,No significance,No significance,1,1,0.006351,0.006808,0.006169,49.04,40.86,0.82 (0.44;1.2)
106,PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage,g0_vs_g1,g045_vs_g144,89,0.136908,0.447289756097561,No significance,No significance,1,1,0.005826,0.006184,0.005537,49.04,40.86,0.87 (0.59;1.1)
107,GLUTORN.PWY..L.ornithine.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.139101,0.447289756097561,No significance,No significance,1,1,0.001869,0.001442,0.002222,40.98,49.11,1.1 (1.2;0.94)
108,POLYAMINSYN3.PWY..superpathway.of.polyamine.biosynthesis.II,g0_vs_g1,g045_vs_g144,89,0.140196,0.447289756097561,No significance,No significance,0.6444,0.7727,7.521e-05,3.419e-05,0.0001084,41.04,49.05,1 (1.1;0.96)
109,PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.140708,0.447289756097561,No significance,No significance,0.8,0.8409,0.0003018,0.0002567,0.0003405,41.01,49.08,1.1 (1.2;0.95)
110,PWY.5845..superpathway.of.menaquinol.9.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.141035,0.447289756097561,No significance,No significance,0.7556,0.8182,0.0003764,0.0002791,0.0003954,41.02,49.07,1.1 (1.2;0.94)
111,PWY.5850..superpathway.of.menaquinol.6.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.141035,0.447289756097561,No significance,No significance,0.7556,0.8182,0.0003764,0.0002791,0.0003954,41.02,49.07,1.1 (1.2;0.94)
112,PWY.5896..superpathway.of.menaquinol.10.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.141035,0.447289756097561,No significance,No significance,0.7556,0.8182,0.0003764,0.0002791,0.0003954,41.02,49.07,1.1 (1.2;0.94)
113,PWY.6859..all.trans.farnesol.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.141588,0.447289756097561,No significance,No significance,0.8,0.8182,6.752e-05,4.428e-05,9.388e-05,41.02,49.07,1 (1.1;0.96)
114,P108.PWY..pyruvate.fermentation.to.propanoate.I,g0_vs_g1,g045_vs_g144,89,0.14294,0.447289756097561,No significance,No significance,0.7556,0.8864,0.0001604,0.000115,0.000177,41.03,49.06,1.1 (1.2;0.95)
115,PWY66.400..glycolysis.VI..metazoan.,g0_vs_g1,g045_vs_g144,89,0.143567,0.447289756097561,No significance,No significance,1,1,0.003479,0.003497,0.003372,48.98,40.93,0.88 (0.63;1.1)
