,type,Block,Number,Paired,Pvalue,FDR,Enrich_median,Enrich_rank,g0_occurence,g1_occurence,median_all,g0_median,g1_median,g0_rank,g1_rank,Odds Ratio (95% CI)
52,g__Candidatus_Stoquefichus,g0_vs_g1,g045_vs_g144,89,0.300597,0.628406678571429,No significance,No significance,0.1333,0.0682,0,0,0,46.48,43.49,0.92 (0.76;1.1)
53,g__Klebsiella,g0_vs_g1,g045_vs_g144,89,0.301409,0.628406678571429,No significance,No significance,0.6444,0.6818,0.01318,0.00713,0.02277,42.24,47.82,1 (1.1;0.98)
54,g__Parasutterella,g0_vs_g1,g045_vs_g144,89,0.301493,0.628406678571429,No significance,No significance,0.5333,0.5909,0.00596,0.0017,0.00863,42.31,47.75,1 (1.1;0.98)
55,g__Lactonifactor,g0_vs_g1,g045_vs_g144,89,0.303266,0.628406678571429,No significance,No significance,0.2,0.1136,0,0,0,46.78,43.18,0.96 (0.89;1)
56,g__Barnesiella,g0_vs_g1,g045_vs_g144,89,0.308691,0.628406678571429,No significance,No significance,0.2889,0.4091,0,0,0,42.64,47.41,1 (1.1;0.98)
57,g__Campylobacter,g0_vs_g1,g045_vs_g144,89,0.345255,0.684984724137931,No significance,No significance,0.1333,0.2045,0,0,0,43.32,46.72,1 (1.1;0.97)
58,g__Sutterella,g0_vs_g1,g045_vs_g144,89,0.348501,0.684984724137931,No significance,No significance,0.4444,0.5,0,0,0.00287,42.64,47.41,1 (1.1;0.97)
59,g__Ruminococcaceae_unclassified,g0_vs_g1,g045_vs_g144,89,0.370599,0.7076379,No significance,No significance,0.6222,0.7045,0.00317,0.00229,0.006855,42.61,47.44,1 (1.1;0.98)
60,g__Enterorhabdus,g0_vs_g1,g045_vs_g144,89,0.372441,0.7076379,No significance,No significance,0.2889,0.3864,0,0,0,42.96,47.09,1 (1.1;0.97)
61,g__Blautia,g0_vs_g1,g045_vs_g144,89,0.379501,0.70923137704918,No significance,No significance,1,1,1.382,1.452,1.159,47.4,42.55,0.97 (0.92;1)
62,g__Lawsonibacter,g0_vs_g1,g045_vs_g144,89,0.397201,0.730337322580645,No significance,No significance,0.5111,0.5682,0.0012,0.001,0.002745,42.81,47.24,1 (1.1;0.96)
63,g__Olsenella,g0_vs_g1,g045_vs_g144,89,0.409643,0.73761384375,No significance,No significance,0.1778,0.25,0,0,0,43.39,46.65,1 (1.1;0.98)
64,g__Ruminococcus,g0_vs_g1,g045_vs_g144,89,0.414099,0.73761384375,No significance,No significance,0.8889,0.9545,1.062,0.8579,1.318,42.78,47.27,1 (1.1;0.97)
65,g__Enterococcus,g0_vs_g1,g045_vs_g144,89,0.42918,0.744147090909091,No significance,No significance,0.1556,0.2045,0,0,0,43.56,46.48,1.1 (1.2;0.95)
66,g__Clostridiales_unclassified,g0_vs_g1,g045_vs_g144,89,0.430822,0.744147090909091,No significance,No significance,0.3778,0.4773,0,0,0,43.07,46.98,1 (1.1;0.98)
67,g__Sellimonas,g0_vs_g1,g045_vs_g144,89,0.452193,0.767535176470588,No significance,No significance,0.2889,0.2273,0,0,0,46.58,43.39,0.98 (0.93;1)
68,g__Coprobacillus,g0_vs_g1,g045_vs_g144,89,0.457828,0.767535176470588,No significance,No significance,0.2889,0.3409,0,0,0,43.33,46.7,1 (1.1;0.97)
69,g__Pyramidobacter,g0_vs_g1,g045_vs_g144,89,0.468387,0.773553333333333,No significance,No significance,0.2222,0.2955,0,0,0,43.48,46.56,1 (1;0.99)
70,g__Roseburia,g0_vs_g1,g045_vs_g144,89,0.48285,0.773553333333333,No significance,No significance,0.9111,0.9545,3.804,4.053,3.702,43.09,46.95,1 (1.1;0.96)
71,g__Ileibacterium,g0_vs_g1,g045_vs_g144,89,0.486517,0.773553333333333,No significance,No significance,0.1778,0.2273,0,0,0,43.67,46.36,1.1 (1.3;0.91)
72,g__Allisonella,g0_vs_g1,g045_vs_g144,89,0.48856,0.773553333333333,No significance,No significance,0.2667,0.3636,0,0,0,43.44,46.59,1 (1;0.99)
73,g__Succinatimonas,g0_vs_g1,g045_vs_g144,89,0.495899,0.774417616438356,No significance,No significance,0.0889,0.1364,0,0,0,43.98,46.05,1 (0.99;1)
74,g__Porphyromonas,g0_vs_g1,g045_vs_g144,89,0.529389,0.815545216216216,No significance,No significance,0.1111,0.1591,0,0,0,43.98,46.05,1 (1;0.99)
75,g__Pseudoflavonifractor,g0_vs_g1,g045_vs_g144,89,0.538478,0.81848656,No significance,No significance,0.1111,0.1591,0,0,0,44,46.02,1 (1.1;0.96)
76,g__Holdemanella,g0_vs_g1,g045_vs_g144,89,0.559196,0.838794,No significance,No significance,0.1778,0.25,0,0,0,43.86,46.17,1 (0.99;1)
77,g__Parabacteroides,g0_vs_g1,g045_vs_g144,89,0.568451,0.839202230769231,No significance,No significance,0.9556,0.9773,1.515,1.553,1.344,46.56,43.41,0.97 (0.92;1)
78,g__Gemella,g0_vs_g1,g045_vs_g144,89,0.574191,0.839202230769231,No significance,No significance,0.4222,0.4773,0,0,0,43.6,46.43,1 (1.1;0.98)
79,g__Eisenbergiella,g0_vs_g1,g045_vs_g144,89,0.603169,0.853271926829268,No significance,No significance,0.4444,0.5,0,0,7e-05,43.69,46.34,1 (1;0.99)
80,g__Fretibacterium,g0_vs_g1,g045_vs_g144,89,0.613544,0.853271926829268,No significance,No significance,0.1778,0.1364,0,0,0,45.88,44.1,0.94 (0.82;1.1)
81,g__Fusicatenibacter,g0_vs_g1,g045_vs_g144,89,0.61366,0.853271926829268,No significance,No significance,0.8667,0.9545,0.4418,0.4101,0.476,43.62,46.41,1 (1.1;0.98)
82,g__Ruthenibacterium,g0_vs_g1,g045_vs_g144,89,0.613757,0.853271926829268,No significance,No significance,0.9556,0.9318,0.05101,0.05552,0.04868,46.38,43.59,0.98 (0.93;1)
83,g__Escherichia,g0_vs_g1,g045_vs_g144,89,0.62524,0.858763373493976,No significance,No significance,0.9111,0.9091,0.2114,0.2114,0.2249,43.67,46.36,1 (1;0.99)
84,g__Clostridium,g0_vs_g1,g045_vs_g144,89,0.634106,0.860572428571429,No significance,No significance,0.9778,0.9773,0.1552,0.1363,0.1635,43.7,46.33,1 (1;0.99)
85,g__Megasphaera,g0_vs_g1,g045_vs_g144,89,0.644861,0.8648724,No significance,No significance,0.3778,0.4091,0,0,0,43.89,46.14,1 (1;0.99)
86,g__Streptococcus,g0_vs_g1,g045_vs_g144,89,0.702764,0.911843730337079,No significance,No significance,0.9778,0.9545,0.06819,0.0638,0.07648,46.04,43.93,0.99 (0.97;1)
87,g__Anaerostipes,g0_vs_g1,g045_vs_g144,89,0.702765,0.911843730337079,No significance,No significance,0.9778,0.9545,0.285,0.2501,0.2868,46.04,43.93,0.99 (0.96;1)
88,g__Megamonas,g0_vs_g1,g045_vs_g144,89,0.704714,0.911843730337079,No significance,No significance,0.5111,0.5227,0.06664,0.5254,0.04248,45.98,44,0.99 (0.96;1)
89,g__Acidaminococcus,g0_vs_g1,g045_vs_g144,89,0.711878,0.911843730337079,No significance,No significance,0.2444,0.2273,0,0,0,45.76,44.23,0.98 (0.93;1)
90,g__Oxalobacter,g0_vs_g1,g045_vs_g144,89,0.729311,0.913781869565217,No significance,No significance,0.3333,0.3409,0,0,0,44.2,45.82,1 (1;0.99)
91,g__Actinomyces,g0_vs_g1,g045_vs_g144,89,0.730797,0.913781869565217,No significance,No significance,0.4444,0.4773,0,0,0,44.13,45.89,1 (1;0.99)
92,g__Odoribacter,g0_vs_g1,g045_vs_g144,89,0.737438,0.913781869565217,No significance,No significance,0.6889,0.7955,0.2994,0.302,0.2326,44.09,45.93,1 (1;0.99)
93,g__Butyricimonas,g0_vs_g1,g045_vs_g144,89,0.763237,0.92687214893617,No significance,No significance,0.7333,0.8182,0.1004,0.09216,0.1011,44.18,45.84,1 (1.1;0.98)
94,g__Phascolarctobacterium,g0_vs_g1,g045_vs_g144,89,0.764263,0.92687214893617,No significance,No significance,0.8222,0.9091,0.3516,0.3516,0.4483,44.18,45.84,1 (1;1)
95,g__Victivallis,g0_vs_g1,g045_vs_g144,89,0.779066,0.9312315625,No significance,No significance,0.1333,0.1591,0,0,0,44.52,45.49,0.99 (0.98;1)
96,g__Peptostreptococcus,g0_vs_g1,g045_vs_g144,89,0.784195,0.9312315625,No significance,No significance,0.1556,0.1364,0,0,0,45.47,44.52,0.97 (0.92;1)
97,g__Dialister,g0_vs_g1,g045_vs_g144,89,0.795759,0.935221917525773,No significance,No significance,0.2667,0.2955,0,0,0,44.43,45.58,1 (1;1)
98,g__Faecalitalea,g0_vs_g1,g045_vs_g144,89,0.804801,0.936197081632653,No significance,No significance,0.1556,0.1364,0,0,0,45.42,44.57,0.99 (0.98;1)
99,g__Phyllobacterium,g0_vs_g1,g045_vs_g144,89,0.848212,0.974871542857143,No significance,No significance,0.2,0.1818,0,0,0,45.37,44.62,0.98 (0.94;1)
100,g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified,g0_vs_g1,g045_vs_g144,89,0.85761,0.974871542857143,No significance,No significance,0.1333,0.1136,0,0,0,45.29,44.7,1 (1.1;0.98)
101,g__Dielma,g0_vs_g1,g045_vs_g144,89,0.872106,0.974871542857143,No significance,No significance,0.3556,0.3864,0,0,0,45.39,44.6,0.98 (0.93;1)
102,g__Faecalibacterium,g0_vs_g1,g045_vs_g144,89,0.879317,0.974871542857143,No significance,No significance,0.9556,0.9091,3.263,3.07,3.514,44.58,45.43,1 (1;0.99)
103,g__Agathobaculum,g0_vs_g1,g045_vs_g144,89,0.885731,0.974871542857143,No significance,No significance,0.8667,0.9091,0.1736,0.2006,0.1646,45.4,44.59,1 (1;1)
104,g__Paraprevotella,g0_vs_g1,g045_vs_g144,89,0.892247,0.974871542857143,No significance,No significance,0.2222,0.2727,0,0,0,44.71,45.3,0.99 (0.96;1)
105,g__Haemophilus,g0_vs_g1,g045_vs_g144,89,0.897908,0.974871542857143,No significance,No significance,0.7556,0.7273,0.01346,0.01346,0.01388,45.36,44.64,1 (1;1)
106,g__Eubacterium,g0_vs_g1,g045_vs_g144,89,0.921553,0.983202056074766,No significance,No significance,0.9333,0.9773,2.614,2.594,2.662,45.28,44.72,1 (1.1;0.98)
107,g__Coprococcus,g0_vs_g1,g045_vs_g144,89,0.92283,0.983202056074766,No significance,No significance,0.6,0.6591,0.1518,0.1772,0.1416,44.73,45.27,1 (1;1)
108,g__Alistipes,g0_vs_g1,g045_vs_g144,89,0.93783,0.989931666666667,No significance,No significance,0.8889,0.9091,1.566,2.359,1.483,45.22,44.77,1 (1;0.99)
109,g__Fusobacterium,g0_vs_g1,g045_vs_g144,89,0.959958,0.992193451327434,No significance,No significance,0.6667,0.6591,0.02564,0.05346,0.01258,45.14,44.85,1 (0.99;1)
110,g__Absiella,g0_vs_g1,g045_vs_g144,89,0.963851,0.992193451327434,No significance,No significance,0.1556,0.1591,0,0,0,44.91,45.09,0.99 (0.98;1)
111,g__Bilophila,g0_vs_g1,g045_vs_g144,89,0.980356,0.992193451327434,No significance,No significance,0.9333,0.9318,0.05233,0.05427,0.04956,44.92,45.08,1 (1;1)
112,g__Mogibacterium,g0_vs_g1,g045_vs_g144,89,0.98209,0.992193451327434,No significance,No significance,0.1111,0.1136,0,0,0,44.96,45.05,1 (1;0.99)
113,g__Veillonella,g0_vs_g1,g045_vs_g144,89,0.98349,0.992193451327434,No significance,No significance,0.7333,0.75,0.00843,0.00843,0.01032,44.93,45.07,1 (0.99;1)
114,g__Cloacibacillus,g0_vs_g1,g045_vs_g144,89,0.99587,0.99587,No significance,No significance,0.2889,0.2727,0,0,0,45.02,44.98,1 (1;0.99)
