,all.wasit_estimate,all.wasit_p.value,all.SBP_estimate,all.SBP_p.value,all.DBP_estimate,all.DBP_p.value,all.HR_estimate,all.HR_p.value,all.RASBP_estimate,all.RASBP_p.value,all.RAMSBP_estimate,all.RAMSBP_p.value,all.RADBP_estimate,all.RADBP_p.value,all.LASBP_estimate,all.LASBP_p.value,all.LAMSBP_estimate,all.LAMSBP_p.value,all.LADBP_estimate,all.LADBP_p.value,all.RLSBP_estimate,all.RLSBP_p.value,all.RLMSBP_estimate,all.RLMSBP_p.value,all.RLDBP_estimate,all.RLDBP_p.value,all.LLSBP_estimate,all.LLSBP_p.value,all.LLMSBP_estimate,all.LLMSBP_p.value,all.LLDBP_estimate,all.LLDBP_p.value,all.hrbpm_estimate,all.hrbpm_p.value,all.RbaPWV_estimate,all.RbaPWV_p.value,all.LbaPWV_estimate,all.LbaPWV_p.value,all.RABI_estimate,all.RABI_p.value,all.LABI_estimate,all.LABI_p.value,all.Cardiovascular_incidence_estimate,all.Cardiovascular_incidence_p.value,all.TG_estimate,all.TG_p.value,all.TC_estimate,all.TC_p.value,all.HDLC_estimate,all.HDLC_p.value,all.LDLC_estimate,all.LDLC_p.value,all.Glum_estimate,all.Glum_p.value
s__Bifidobacterium_dentium,0.030444837019921,0.778265880104845,0.226717495667906,0.033659104081334,0.0459532051246675,0.670734398890075,0.0476476875580317,0.659332821142649,0.161719213156072,0.13224776083093,0.118173693652093,0.272831794911715,0.142282240711271,0.18604152712701,0.142375512797443,0.185750200513478,0.155248274883115,0.148652516943339,0.140033826516922,0.193164945686322,0.26644452881888,0.012098071595243,0.16911214130027,0.115234005189078,0.153284950381095,0.153919822531927,0.243248162044138,0.0223915636343075,0.214859288598796,0.0444011843649107,0.17081980884285,0.111555765144253,0.0790115665002221,0.464326366516271,0.158218159093234,0.140943386259701,0.20212780271354,0.0589509772449812,0.250764472778687,0.0184465672620955,0.22531277159569,0.0348049263346206,0.271068367771247,0.0106338352480917,-0.0288267889062152,0.789770899405695,-0.0943052514562842,0.382138687899725,0.0514330796567769,0.634144522545458,-0.0764691192060556,0.478867645193274,-0.0290417826908794,0.788239545507168
s__Bifidobacterium_kashiwanohense,-0.0632661064210525,0.558151112093607,-0.114020093441907,0.290163058369124,-0.110413628182754,0.305789385847785,0.0393524996123837,0.715841660187494,-0.0544322881816373,0.614477252246569,-0.0355341291787128,0.742399593736421,-0.00104822848442865,0.992266499679089,-0.0748832335618522,0.488060193907227,0.0154490025324266,0.886400097755965,0.011013492304478,0.918882443949358,-0.105624624202721,0.327371225952849,-0.156333459948626,0.14579976941564,-0.0892105638528309,0.408490295220709,-0.0861845638512208,0.424632551590787,-0.0814064269806409,0.450853043466296,-0.00919764179292238,0.932221930297742,-0.0801641816080726,0.457814522179753,-0.106640644437484,0.322713208033114,-0.0902939511025869,0.402799404556732,-0.0293794827194899,0.785835806407089,0.00361343089171815,0.973345704834647,-0.22591937917937,0.0343061689661769,-0.119722579291367,0.26655082143237,-0.192641831864492,0.0721477019867626,-0.0917487687104879,0.395231328838602,-0.0770187999543756,0.47570325232745,-0.0248812717611257,0.818009937781608
s__Bifidobacterium_longum,-0.0417768496223557,0.699150931552486,0.157868845839413,0.141834128892658,0.247388235190619,0.0201377936950326,0.141490468190595,0.188527926886795,0.287594310905192,0.00658859249039052,0.288374807989215,0.00643684990944285,0.25934573209194,0.0146873929579662,0.225675550299305,0.0345059210108152,0.295932654499828,0.00511984442097776,0.29904872961143,0.00465058447754009,0.19105767383486,0.0745670918626179,0.252565468907537,0.0175954315790615,0.255581277642292,0.0162458477542743,0.26383954471901,0.012997947502879,0.256769043792495,0.0157393872296581,0.297204247061612,0.0049234994828308,0.0193135109329698,0.858249504777807,0.132252783302325,0.219332214078756,0.160368846438237,0.13555200386853,-0.0645783973414063,0.549998976559755,0.0744799309433652,0.49041275152436,-0.0928035085109961,0.389797674732435,-0.102978338717237,0.339703464569785,-0.07865155369379,0.46637063433188,0.254172683207431,0.0168646495188734,-0.139925496482222,0.193513058794856,-0.0348224628425258,0.747384028308883
s__Bifidobacterium_moukalabense,-0.124973378644495,0.245989172556821,0.0494607696260683,0.647218820837563,-0.0873772950850118,0.41822662721492,-0.0350873787678532,0.745527360338299,-0.108150445908288,0.31587026298679,-0.110799775525331,0.304090540411233,-0.0765825017114202,0.478214003677702,-0.120078087849688,0.265123083143808,-0.0754194727062618,0.484941473042714,-0.0424857766872395,0.694296689324633,0.00127338840294498,0.990605409315133,-0.0668529403685132,0.536007182918338,-0.0259298575061543,0.810480677974293,0.0143856235004917,0.894172474153222,-0.0527010928345491,0.625797487355894,-0.000738457503958335,0.994551850403795,0.280077410655917,0.00821965315901424,0.0415190520469437,0.700919163521477,0.0441376158758436,0.683034008272253,0.247076751037349,0.0203003153665404,0.243943828724491,0.0219984456257948,0.18592709409023,0.0828525250593844,-0.0228130067263013,0.832908721842843,-0.0545261012359345,0.613866348902845,0.0229816420622467,0.831691668347096,-0.00553816314207016,0.959158082672214,0.00727536792887295,0.946363546228035
s__Bifidobacterium_pseudocatenulatum,-0.0419187777951145,0.698178130211865,-0.131171465634805,0.223157541090972,-0.123595662961142,0.251275281351686,-0.0288202614283913,0.789817405719788,-0.0205338914079842,0.849394722868249,-0.0202375704359273,0.851543083673727,0.0152753340367905,0.887668750207631,-0.0315758669185425,0.770251868218841,-0.00510817410044079,0.962326680135324,-0.0031463641411988,0.976789973957965,-0.0894176323287186,0.407398971024573,-0.145822708919509,0.175214443960376,-0.0932707295618199,0.387405048068919,-0.0640572254238808,0.553229661843114,-0.0710399442774915,0.510720053260315,-0.0100821888339662,0.925721359894724,-0.110277900085061,0.306387983784829,-0.105911403975988,0.326052141139838,-0.0881902600339693,0.413892578537472,-0.076373959204664,0.479416605104747,-0.0159266452861611,0.882912390414732,-0.262428692991782,0.0135091784995772,-0.172206600340207,0.108636193120417,-0.204805103860224,0.0556055510064619,-0.0658624283667524,0.542078594553137,-0.117680112418508,0.274854072915687,-0.0357792601257374,0.740685165400938
s__Rothia_mucilaginosa,-0.175927550047548,0.101095740113884,-0.167585034920518,0.118602062121538,-0.158747124562816,0.139602585513866,0.0798791711587458,0.459420022353601,-0.162998488174604,0.129174357450093,-0.160943629244381,0.134137978378082,-0.145567701642211,0.175978492480855,-0.184830962434819,0.0847143200875634,-0.165070090240876,0.124313424300453,-0.149659155941147,0.164011657620769,-0.220404557400332,0.0390685654299993,-0.185997452862808,0.082734141285435,-0.081076282345638,0.452697390500929,-0.139497489096757,0.194892865731159,-0.119971105632578,0.265552182981218,-0.00423268651112695,0.968779919622546,0.169632240740325,0.114103945404109,-0.124287278692558,0.248611992542934,-0.100648806019535,0.350798480210281,-0.157786990446556,0.14204347175729,0.0693828786907434,0.520654031040192,-0.0304318757056421,0.778357854820915,-0.120253474180506,0.264420633977091,-0.0511377925207604,0.636094961259682,0.0552829015379989,0.608947780002941,-0.0430055878265032,0.690745180499805,0.0449258516553825,0.677683756167017
s__Atopobium_deltae,0.0276786911040982,0.797961924405758,-0.0288442169676936,0.789646733319946,-0.063346674520129,0.557648953201725,-0.15659429005649,0.145120274091125,0.178171233732804,0.0967508704750933,0.189816243814322,0.0765082069731187,0.202225794474793,0.0588257016148735,0.162333643252825,0.130764745038499,0.148289931376136,0.1679474144008,0.180695116978909,0.0920402324803647,0.154046060607835,0.15186157713423,0.183598626658885,0.086846998113832,0.105089973970149,0.329839500280921,0.102156220177736,0.343593514127809,0.137088450515848,0.202791480657235,0.0283468075231549,0.793192573822898,-0.126665145260456,0.239603526874854,0.129672910045218,0.228536080017461,0.165999933876709,0.12217771001355,0.00231003298307505,0.982958313634196,-0.113174758020747,0.293777519101594,0.151728790254237,0.158192818582763,-0.128616591944666,0.232381441472292,0.118201912722062,0.272716480038768,0.132362454504194,0.218946834750742,0.035238114389602,0.744471574067801,-0.0827028319026312,0.443651271899896
s__Olsenella_scatoligenes,0.0310365327516374,0.774070419311802,0.261899269752528,0.0137054733012755,0.169669095152837,0.114024195364488,0.0526610251549364,0.626060531272152,0.174103026075114,0.104740259443945,0.181065753014268,0.0913639776631446,0.163283165031602,0.12849790737162,0.231522800469055,0.0299762681355507,0.232139690687881,0.0295291041520783,0.137778678044531,0.200505352876067,0.233308051033466,0.0286976344129637,0.179115199087316,0.0949673337297922,0.168846774360475,0.115813909895648,0.189395453065347,0.0771752716108483,0.16190779490115,0.131791236533846,0.13477025223693,0.210606068192315,-0.0590046603635719,0.585014631375024,0.186138584659442,0.0824970827819794,0.196624706785534,0.0663431655242285,0.15272968737867,0.155434493639926,-0.019058810836749,0.86009979634422,0.0550559207742828,0.610421156081981,0.0323956872081636,0.76445793523821,-0.00466757555980311,0.965574065280638,0.0168038288930336,0.876513121120601,-0.0151155004403667,0.888836588375376,0.0698058393649511,0.518109152380742
s__Collinsella_aerofaciens,-0.0408588878639141,0.705454469415478,0.112247144664798,0.29777777903995,0.0647900063142243,0.548689848234084,0.0095518717760963,0.929618123142588,0.16165443019202,0.132404866771684,0.158327202304616,0.140666195084469,0.101017139714876,0.349029333142568,0.178877833010987,0.0954133611417726,0.142034531243705,0.186816834840814,0.164475343129101,0.125694400132316,0.12092165221296,0.261756033960524,0.185993799918573,0.0827402843143349,0.213488368134306,0.0458087117605195,0.237159999172115,0.026095283833525,0.190493310231794,0.0754445801064323,0.241618196633239,0.0233362123144562,0.107408447067389,0.319221476876882,0.334792903441591,0.00143126994890511,0.32244009306836,0.0021856013427184,-0.0820147270766738,0.447465755548697,0.180246471984633,0.0928640990060619,0.180323569515431,0.092722109083735,-0.0477734586675797,0.658489603183405,0.104887127860742,0.330779052690181,0.169220245413208,0.114998410093063,0.0186365113745274,0.863169287176182,0.110454739270126,0.305608225164823
s__Collinsella_intestinalis,0.0566008931962748,0.600423359569109,-0.00995401436810541,0.926663027401396,0.004581214826348,0.966210645394223,0.0172993111519319,0.872901931381839,0.0337971942007799,0.754583133214548,0.00187871622625309,0.986139893796451,0.0442562793687323,0.682227555563268,0.0504304210213061,0.640777384292677,0.0436021269229972,0.686677672677195,0.060952872978049,0.572660223506092,0.0296655069599829,0.783801460841011,0.0949046767504173,0.379107075368566,0.112146400273765,0.298214373687722,0.17787751544246,0.0973111607932089,0.122676704102883,0.254844187375107,0.0705130601668943,0.513868093997081,0.0586965145726534,0.586979799803671,0.072947512564577,0.499406050376735,0.0247399408588138,0.81902602812332,0.00636890379216347,0.953038177196903,0.237499463027046,0.0258758739289246,-0.0455502657544732,0.673456756578581,-0.125532396813624,0.243866297890917,-0.253387932512335,0.0172181300400876,0.065246500561364,0.545870883498581,-0.289105781905972,0.00629754507596566,0.0968492753033,0.369372717049353
s__Collinsella_stercoris,-0.0135668969348947,0.900163502373844,-0.00198207382731092,0.985377461535147,-0.00416932173494233,0.969247065815519,0.0700449162437373,0.516673470387976,0.0411185547949814,0.703669328827098,0.0439826362463821,0.684087805553094,0.0242136523827082,0.822812362500395,0.0580207352601999,0.591299995741361,0.0647936678663182,0.548667209187566,0.0965999689895898,0.370612102096772,0.0548423244161365,0.611809069036851,0.106905736152231,0.32150489641696,0.114387593809175,0.288600920845215,0.174153424774571,0.104638229286985,0.110209773582203,0.306688727609124,0.115932155318341,0.282096419310674,0.113068836263952,0.294232498864955,0.233600480482413,0.0284926524759826,0.220069495513854,0.0393748593478331,0.06547508224268,0.544461991102088,0.259630562020836,0.014574930060577,0.0669266587510103,0.535556669614851,-0.137943428668047,0.199962419167209,-0.0681702408877199,0.527985162173996,0.202312459569359,0.0587150873676109,-0.164787599567208,0.124967897903425,0.184616096320335,0.0850831410876295
s__Enorma_massiliensis,0.127625418660486,0.236030466148798,0.0754459368987206,0.484787834678034,-0.0134150289590282,0.901275420580725,0.0309473210064435,0.774702569936239,0.227262878431012,0.0332228636235806,0.167703431713328,0.118338254629988,0.207810357620493,0.0520371234808152,0.223296423114113,0.0365067066382121,0.126539073768727,0.240075391128452,0.182692210256752,0.088442648518344,0.242404286604841,0.0228764732368638,0.236285421179362,0.02666785115964,0.21953781716536,0.0398649975772375,0.322770948299534,0.00216144730444913,0.213912039042828,0.0453698386143409,0.148181332169198,0.16826253297016,0.0564477718736994,0.601410982578409,0.364905665247609,0.000473128109477987,0.349472391293134,0.000845796353843143,0.116414339270638,0.280085997349384,0.249930985942439,0.0188522988209454,0.297596686389175,0.00486426955191893,-0.181298840370136,0.0909407050924572,-0.0197088455195131,0.85537907956463,-0.036797728734443,0.733575693780064,0.0308962130977626,0.775064784545754,-0.0971134562944456,0.368062151330283
s__[Collinsella]_massiliensis,0.113923962410137,0.290572604302599,0.103287662957165,0.338247035112117,0.048324830075663,0.654798041728866,-0.0068274184365162,0.949661530679251,0.155419289792506,0.14820019261793,0.134656980754265,0.21099331258373,0.100861406517952,0.349776656338735,0.15765889404641,0.142371542459621,0.109562204076004,0.309557007195717,0.129333586154172,0.229766451294599,0.169740093795542,0.11387068144121,0.190747598659708,0.0750481858668069,0.143832274719415,0.181243066708629,0.254367772239617,0.0167777516761028,0.178702892442636,0.0957431403214282,0.128204253894686,0.233894665611,0.0984698703265555,0.361378056329098,0.285644229877392,0.00698161667811711,0.273049631478518,0.0100554073655432,0.0451814891517697,0.675951991913726,0.189012161835055,0.0777869340827517,0.252993937026112,0.0173979947333538,-0.0257633396263225,0.811675211038402,0.106311809266695,0.324216105837732,0.112956775744687,0.294714352258494,0.0740890831267858,0.492698360192852,0.00612637239369191,0.954824593705968
s__Adlercreutzia_equolifaciens,0.0955292016739745,0.375964033110428,0.119652258684928,0.266833846652482,0.205233175516918,0.0550853514107867,0.0796399953565732,0.460769717230263,0.213851447266601,0.045432390375499,0.203637038319184,0.0570454871070171,0.243839990424456,0.0220567469821545,0.183197579094479,0.0875501608065111,0.177775248096811,0.0975068406246282,0.212224330132929,0.0471390300281954,0.13592226477561,0.206696321956162,0.174593822801046,0.103749956691846,0.197045462256737,0.0657526967139304,0.218002737032948,0.0413087587282319,0.149179494991847,0.165382570181902,0.117250761816941,0.276621345255194,0.13124884587732,0.222882248688515,0.312039298728499,0.00308029695221252,0.254548240579325,0.0166977103800646,0.00447764800801404,0.966974082441642,0.0816554710629309,0.449464533150106,0.155984651824919,0.146712194361672,-0.189845810588901,0.0764615100304689,0.123777691524742,0.250572433167627,0.217226852252552,0.0420548808991062,0.0142195450865175,0.895387283923728,0.0587331764586821,0.586745834992807
s__Asaccharobacter_celatus,0.106236525787669,0.324560807972865,0.0726215148996078,0.501330269206121,0.175712756529021,0.101519567987304,0.0608743351179298,0.57315590160183,0.168844273650899,0.115819385379028,0.163729762137253,0.127442156384631,0.210821117613134,0.0486530461837719,0.143652883725961,0.181793745416321,0.136044037478574,0.206286090408435,0.166623185572359,0.120762039385674,0.0953922105815807,0.376652110537398,0.137762573157321,0.200558483001521,0.160120914413024,0.136165422625799,0.183450213891239,0.0871066885364771,0.110850111519818,0.303869543068799,0.0876966914024497,0.416520751113006,0.118383009461038,0.271977223073642,0.257743825521307,0.0153339927912463,0.202219692260866,0.0588334965242334,-0.0198998788078506,0.853992705833508,0.0783107879133478,0.468310124168904,0.147490033742508,0.170278678191818,-0.203120443256965,0.0576919679941602,0.118578996552201,0.271178701952846,0.216971742545794,0.0423026386801406,0.00288224092825947,0.978737878024117,0.0543866263988576,0.614774693375042
s__Eggerthella_lenta,0.0993480882397758,0.357090547485083,-0.2235823029787,0.0362612700153709,-0.0296961088945784,0.783583890460222,-0.0423492985710999,0.695230247377379,-0.0698071007671396,0.5181015722122,-0.0305364011249235,0.777616219517065,-0.00929066439992942,0.931538087087115,-0.0949192013894038,0.379033797414636,-0.157812969529716,0.14197700574428,-0.0200763215625013,0.852712612336033,-0.193818128047248,0.0703923977201964,-0.113529567803503,0.292256836741582,-0.0324387113621886,0.76415422408116,-0.16067838052846,0.134789118884696,-0.076942697526724,0.476140684490607,-0.049811263058235,0.644887448181404,-0.134679574793962,0.210916029343459,-0.114754551081815,0.287046658778682,-0.156705276343122,0.144831864616159,-0.258550183095331,0.0150054984955961,-0.171548718338806,0.110013721134856,-0.176298238885109,0.100367559995193,-0.0309877768191549,0.774415883561741,0.0093166230168958,0.931347264637533,-0.0861787734254355,0.424663787589301,0.0936387374949278,0.38552669727149,-0.123586784702011,0.251309596589123
