,BMI_estimate,BMI_p.value,wasit_estimate,wasit_p.value,SBP_estimate,SBP_p.value,DBP_estimate,DBP_p.value,HR_estimate,HR_p.value,RASBP_estimate,RASBP_p.value,RAMSBP_estimate,RAMSBP_p.value,RADBP_estimate,RADBP_p.value,LASBP_estimate,LASBP_p.value,LAMSBP_estimate,LAMSBP_p.value,LADBP_estimate,LADBP_p.value,RLSBP_estimate,RLSBP_p.value,RLMSBP_estimate,RLMSBP_p.value,RLDBP_estimate,RLDBP_p.value,LLSBP_estimate,LLSBP_p.value,LLMSBP_estimate,LLMSBP_p.value,LLDBP_estimate,LLDBP_p.value,hrbpm_estimate,hrbpm_p.value,RbaPWV_estimate,RbaPWV_p.value,LbaPWV_estimate,LbaPWV_p.value,RABI_estimate,RABI_p.value,LABI_estimate,LABI_p.value,Cardiovascular_incidence_estimate,Cardiovascular_incidence_p.value,TG_estimate,TG_p.value,TC_estimate,TC_p.value,HDLC_estimate,HDLC_p.value,LDLC_estimate,LDLC_p.value,Glum_estimate,Glum_p.value
s__Bifidobacterium_dentium,-0.277656173584509,0.0084289191787218,-0.211845980837747,0.0462636041359452,0.129362752102076,0.226955783242417,-0.0467281546069415,0.663679773808797,0.0634475709287758,0.554723325350274,0.0550440188823818,0.608418649727048,0.0205585771881168,0.848347245395229,0.0108999421313837,0.919249461078782,0.0295511577115539,0.783389963894423,0.0448368502276221,0.676517271286832,-0.0021620088016097,0.983957189911356,0.149901091396113,0.160882780355472,0.0549569973760317,0.608986401751996,0.0152742568249473,0.887026071691907,0.125819228083654,0.240045895527142,0.105365658807257,0.325752917498251,0.0410441828981545,0.702537596485784,0.0348431649964973,0.745815851511046,0.0617318322867296,0.565499162900309,0.120580497480989,0.260340936520032,0.254735505543448,0.0159926514133598,0.227414926611318,0.0320916719914309,0.208973269435434,0.0493752174624111,-0.144062331819595,0.178010417924944,-0.113938771839944,0.287705907952066,0.168109073879197,0.11531471759564,-0.145354999661505,0.174108078664273,-0.0954193384985456,0.373739479736063
s__Bifidobacterium_kashiwanohense,0.0184529115571531,0.863722085296527,-0.0207624805805102,0.846861324389567,-0.103971562321524,0.332230558329674,-0.0987415489166277,0.357254233982568,0.0380843626903395,0.72308659040668,-0.0452863236515143,0.673457855146356,-0.0279328700646205,0.794984398878638,0.00660598571111941,0.951008476388977,-0.0634787262559189,0.554528567490536,0.0208395721571598,0.846299668023481,0.0180379917505488,0.866757864534662,-0.0935859054016966,0.383032045405255,-0.13995044902096,0.190848384061269,-0.0728933170076544,0.497228640599408,-0.0748253473084249,0.485865524818766,-0.0710298586768381,0.508318814227049,-0.00115677450454718,0.991415950407722,-0.0766278669898108,0.475389910181054,-0.0961807174080319,0.369921147393045,-0.0830496129688381,0.439078250483549,-0.0302763300724105,0.778209502217017,0.00286984948024715,0.978705855747446,-0.219376661032144,0.0388688831931268,-0.100230492585715,0.350014265244463,-0.190334592502094,0.0740021895571257,-0.0903287818016403,0.399879641329485,-0.0692172762219288,0.519227218407535,-0.0195664225747853,0.855584917719369
s__Bifidobacterium_longum,-0.0805307983034728,0.45313078566969,-0.0899275215876334,0.401985036132698,0.127776421855965,0.232752629153698,0.208014911515631,0.0504508848851994,0.145895042323067,0.172496512403929,0.244033828379215,0.0211875486909171,0.247589983126728,0.0193205735898306,0.202799053721673,0.0566485415316927,0.181828895146865,0.088125757483121,0.24944189499751,0.0184055413371296,0.231711672189419,0.0288969460203669,0.153153256007626,0.151889760320794,0.207610491951214,0.0509105610432926,0.196362687428531,0.0651403795896131,0.220158076759185,0.0381615326652539,0.216061143616529,0.0419930101853917,0.240315476158401,0.0233027298769498,0.00737054921785224,0.945346565876634,0.101604371304963,0.343415562618469,0.135373544935,0.205911033733631,-0.0601828720212345,0.575311609569033,0.0774080131623391,0.470894020675673,-0.104934763617713,0.327746389006046,-0.127258250970255,0.234668324165215,-0.0849762815189695,0.428497460806376,0.262661725707568,0.0128917740386393,-0.155978528217677,0.144387177982188,-0.0534727739144764,0.618705305013412
s__Bifidobacterium_moukalabense,-0.168995839784625,0.113381446037568,-0.209054062255279,0.0492854058241899,-0.00158380658039794,0.988247278291543,-0.135528771846102,0.205386669098378,-0.0236978140889555,0.825532206214068,-0.156386931120212,0.143326157979599,-0.156765482544631,0.142347949974305,-0.138106318489615,0.196818605987864,-0.170541505292818,0.110071776152241,-0.127800742930229,0.232662981982699,-0.112306443058388,0.294713029888294,-0.0546306279509651,0.611117785195534,-0.120893718813815,0.25909567887834,-0.0949656395170324,0.376026143215254,-0.0439032156423214,0.682888958195077,-0.103874263034927,0.332685689416991,-0.0674414775066746,0.530028227661045,0.248627668099531,0.0188031557829977,-0.0116435050138565,0.913761343657999,0.000962525650990755,0.992857366690507,0.251815426757352,0.0172874665322539,0.247019315537395,0.0196102997584298,0.151579534034546,0.156193346203673,-0.0927694003411177,0.387214787674612,-0.0679538091728165,0.526900578698029,0.0956768841083192,0.372445208915685,-0.0506591654158316,0.637309127013554,-0.0346689566772132,0.747043886482581
s__Bifidobacterium_pseudocatenulatum,0.172478726100718,0.106030177929316,0.118458151259005,0.26888579523554,-0.0745210453206422,0.487646048435853,-0.06036523909886,0.574152243471133,-0.0393670471376179,0.714156246055017,0.0378177303126487,0.724947654555559,0.0352565100365419,0.742904628978588,0.0844066384429699,0.431610525277715,0.0320130310439411,0.765842620546734,0.0544460618154569,0.61232454629863,0.0735119191754918,0.493575301138923,-0.0261694416324853,0.807669489585852,-0.0741510480631765,0.489815619444976,-0.00984765072476648,0.927022657710635,-0.000943672686580438,0.992997265694639,-0.0103454487121411,0.923344563575168,0.0590259950331733,0.582691448943349,-0.0824681971058761,0.442299966819173,-0.0477958843272577,0.656474723723181,-0.042168547713207,0.694786234467491,-0.0839177077202137,0.434292743433958,-0.0225926454323553,0.833548767831193,-0.225112329317294,0.0339227892926406,-0.0792950940555156,0.460114975753752,-0.186296700830089,0.080461955913519,-0.135018884932394,0.207112678224424,-0.0653179969104008,0.543089549716943,0.0083189727461421,0.938326894684606
s__Rothia_mucilaginosa,-0.228932974961194,0.0309305670010584,-0.285694986184958,0.0066485750206211,-0.221759712365666,0.036745285083125,-0.219484670064335,0.0387704645707461,0.0922477820344446,0.389901172526573,-0.225322060561456,0.0337524479605912,-0.220654388218417,0.0377178726527687,-0.22307347133347,0.035616682331366,-0.249352288240104,0.0184489422373339,-0.229474188708219,0.0305252720111564,-0.231920485822673,0.0287488027898424,-0.278122500358815,0.00831521748520475,-0.249756306078999,0.0182539506790666,-0.16874750708505,0.113920298432577,-0.205311397006161,0.0535897196408797,-0.184632623272353,0.083251749141208,-0.0942399663421837,0.379701165051634,0.130187326565898,0.22398287634723,-0.184074464802448,0.0842045479514508,-0.150863247968972,0.158181972881868,-0.1417353266549,0.185195802792043,0.0766673072694064,0.475162066614636,-0.0684194705343709,0.524065892953338,-0.203908536230771,0.0552805692421518,-0.0691159816880274,0.519840309038653,0.150310113993697,0.159730486053288,-0.101828076407843,0.342348554041819,-0.0139938353234688,0.896441693919217
s__Atopobium_deltae,-0.0299651876970676,0.780431058901899,-0.00893458229662211,0.933773001613562,-0.0361928341690762,0.736323426341346,-0.0695689183808156,0.517101735958945,-0.154285714125644,0.148848209227664,0.1582298779202,0.138611223382198,0.170713351465106,0.109708491412129,0.172102902196562,0.106805076405759,0.141124031492457,0.187117862999245,0.128947468791999,0.228463462087794,0.148730295689924,0.164215236919009,0.135439596905015,0.205687790034543,0.16140627214312,0.130761738579693,0.0823445459760562,0.442986846734549,0.0859239314115759,0.423347154545911,0.119937474367694,0.262910105592684,0.0141888680606743,0.895006555474586,-0.129615153009461,0.226042859794692,0.114662071047784,0.284636596522475,0.153602652927264,0.150677254126607,0.00383241559904541,0.971566260216053,-0.111831160496539,0.296774229167505,0.144281516245966,0.177344273049957,-0.128990788355402,0.228305864554876,0.115164016492463,0.28251943923832,0.13177290066042,0.218343395867883,0.0258771551794268,0.80977693541029,-0.0874992332658581,0.414864934272787
s__Olsenella_scatoligenes,-0.097964885736719,0.361067253215239,-0.0630570775784975,0.557167156738519,0.221768922333788,0.0367372701596741,0.128782646777776,0.229063784030396,0.0585690705522061,0.585618127242191,0.131237288628685,0.220237105126786,0.140298776151979,0.189735570674967,0.108080550352556,0.313371523903418,0.180765130423343,0.0900331212814915,0.183393392405464,0.0853788901331737,0.0796409623504893,0.458154188414984,0.186801111357653,0.0796312198743848,0.132666878339398,0.21520831274018,0.110459184146237,0.302777226467563,0.144158490181848,0.177717948639979,0.120718387926327,0.259792232191413,0.084501243928981,0.431092621969049,-0.072304972782974,0.500716370296185,0.147337007901538,0.168247234139187,0.165868985726315,0.120311855375837,0.156788009359394,0.1422898980231,-0.0150229648515064,0.888872762297897,0.0371914557050707,0.729325248718445,-0.0128755432909568,0.90467687900566,-0.0129801455539634,0.903906139252699,0.0586777450041447,0.584921441501977,-0.0408083862796914,0.704167071505485,0.0432045083097702,0.687671958189204
s__Collinsella_aerofaciens,0.0319709596466663,0.766141528837327,0.00309987259471497,0.976999542766705,0.116647542698528,0.276323520071868,0.0715722317395562,0.505077842651904,0.00748160572440753,0.944524365192259,0.163072082863471,0.126783012402294,0.160278762961229,0.133508287265418,0.105199952701165,0.326518613087045,0.178518308117322,0.0941689873302185,0.144314504266084,0.177244174084031,0.161576707811276,0.130350341386654,0.124636955356779,0.244527405434357,0.185324834615286,0.082082059615372,0.206733439614363,0.0519192947858076,0.233855482003916,0.0274063253976727,0.1904887333974,0.07376410573188,0.234476835596443,0.026986671843913,0.110854744342327,0.30103839467275,0.32880745625838,0.00165475510028993,0.320338099373437,0.00221026848488645,-0.0834949693060957,0.436619446249129,0.178727183281558,0.0937782975940735,0.183044046540829,0.0859862793013061,-0.0294303582837943,0.784253851064678,0.107177497239557,0.317455704808925,0.137098171709986,0.200138650618569,0.0265313096916916,0.805062246533648,0.114871640551525,0.283751373551951
s__Collinsella_intestinalis,0.0263932454245526,0.806056743734054,0.0538709631167155,0.616091372899562,-0.0019921866727805,0.985217177731418,0.0127594392291867,0.905532470653768,0.0155689430701913,0.884861254229739,0.0406019834488607,0.705594516857709,0.0100740439041233,0.925349705306001,0.0511713739523678,0.633905143106184,0.0564933497893227,0.598997110333447,0.0499963721445058,0.641725027116233,0.0663212315878957,0.536899166590601,0.0367081105522931,0.732709727353414,0.0981072470806402,0.360366460869607,0.112694525320318,0.293037007859075,0.176243971277451,0.0985064853323737,0.124572363717475,0.244773897357187,0.0751813300073687,0.483787002911957,0.0618829399657514,0.564546163348713,0.0774808758470684,0.470475302290335,0.0304226998790536,0.777165036264849,0.00501395544894162,0.962805599613916,0.236167206700224,0.0258725071775776,-0.040337511363877,0.707425047398551,-0.1020537699631,0.341274174619521,-0.250127314013332,0.0180764549297257,0.0465943595580744,0.664584799486537,-0.271289699685734,0.0101235263148728,0.100333607281498,0.349516281855078
s__Collinsella_stercoris,-0.0623748572096957,0.561449031702427,-0.059019230159076,0.582734730146954,-0.0197227012660572,0.854444071311626,-0.0238404925332133,0.8244985428125,0.0737566081887717,0.492134124773535,0.0181589005768262,0.86587302828336,0.0220806960777848,0.837268118336756,-0.00351708010465462,0.97390496390176,0.032057055979365,0.765529869460614,0.0393438608212401,0.714317337835635,0.0588776129779434,0.583641125450045,0.0310630985648897,0.772599953361457,0.0781025264729828,0.466911103416183,0.0768256984309578,0.47424764602677,0.142410967071253,0.18308816685382,0.0838664870092443,0.434574280912821,0.0816462831704407,0.44687691146893,0.102611861133084,0.338626586251804,0.203707910431054,0.0555259135082097,0.197789186111947,0.0631744489065835,0.0684401063961434,0.523940451368245,0.261418092974119,0.0133406852445178,0.0551184334667755,0.607933332559877,-0.151121864576379,0.15746181320501,-0.0731075181529851,0.495962012129928,0.208535325530744,0.0498643993754599,-0.175177639279453,0.100593387550301,0.163220538630612,0.126432975469103
s__Enorma_massiliensis,-0.104999492916449,0.327446433199021,-0.0142726753647037,0.894389967142132,0.0418899816272947,0.696703784063624,-0.0461372529231118,0.667680411657435,0.0374320805223058,0.727642271588252,0.178703440175397,0.0938226433390322,0.125349829933045,0.24181833341654,0.145482996761077,0.173725121173576,0.170467415963174,0.11022868967094,0.082180169076656,0.443900884637238,0.116498996759182,0.276939784985718,0.192858058173993,0.0701813210648948,0.183338324597014,0.085474406695595,0.15298970006514,0.15233285356191,0.266444994337026,0.0116059041235096,0.167259796652667,0.117190044096298,0.0938846601203075,0.381508425988865,0.0403178014934327,0.707561535015678,0.314695789997302,0.00266830942353782,0.311426657629021,0.00297111105921922,0.12096917374545,0.258796303713466,0.252560503883234,0.0169487852753082,0.273578552794191,0.00948276970721111,-0.207902609270939,0.0505781871395747,-0.0284802059444931,0.79105781911276,0.0141010832582698,0.895652473956676,0.00138737902094003,0.989704794417489,-0.119460533094149,0.264826775577969
s__[Collinsella]_massiliensis,-0.0416831223367328,0.698128963623045,0.0303850589002721,0.777433597117013,0.0869800883661963,0.417649305901987,0.0324642064596748,0.762639277240764,-0.0041402073958398,0.969283736318392,0.132833723378926,0.214626752529344,0.114635146936866,0.284750457088563,0.0748416436751825,0.485770269555676,0.13254149120012,0.215646099718224,0.0885231678367284,0.409404899771922,0.0974552688672186,0.363582787134058,0.146308844991939,0.171269103144202,0.163921594428471,0.124789971317643,0.112361646648119,0.294474236235161,0.225003313848805,0.0340116152955379,0.155425493662366,0.14583336192721,0.101200460208299,0.345347382039664,0.0913005982115656,0.394807638254572,0.259758668548247,0.0139607883499246,0.254401831928113,0.0161362376726008,0.0472069400206112,0.660445096035714,0.190367665884145,0.0739510529426184,0.241890783075811,0.0223855901309131,-0.0411264349544419,0.701969508195089,0.10227902222728,0.340204013121168,0.119599953287537,0.264265515644716,0.0601049934323028,0.57580703982632,-0.004332832581914,0.967855390141978
s__Adlercreutzia_equolifaciens,0.165777683086312,0.120519009355106,0.189944037696119,0.074608198835699,0.160454747167235,0.133076734508006,0.244700954897574,0.020825985790019,0.0677689792111152,0.528027848274773,0.25378139257317,0.0164061862963951,0.242730145006439,0.0219096342320369,0.287282839615715,0.00633913451342657,0.227672606086416,0.0318920337122101,0.221548849079381,0.0369291884158763,0.261028332665666,0.0134841421567385,0.181272099586598,0.0891200768708788,0.219324940712314,0.038916084918999,0.246355779218535,0.0199518560137707,0.258430815359964,0.0144748467558384,0.192875044783495,0.0701561506883022,0.171721191394115,0.107596619698966,0.152102330576394,0.154753712206109,0.343274124668237,0.000990049781278089,0.283883170176844,0.00701789643071029,-0.00403470661531778,0.970066082595536,0.0738122672564597,0.491806612346055,0.17996115404124,0.0914962227794788,-0.0980622451870697,0.360587897843261,0.135753856452636,0.204628016574821,0.117744078497491,0.271802812484156,0.0580440312829791,0.58898934771144,0.0969628865977818,0.366023454152375
s__Asaccharobacter_celatus,0.166924999342457,0.117935757176068,0.196876897790921,0.0644260819277352,0.116323800386135,0.277667795153121,0.217443568967366,0.0406658971352268,0.0492157287733203,0.646942115283502,0.212230451101917,0.0458597471552509,0.205697611811877,0.0531317432802343,0.258013526732117,0.0146397445881705,0.191584315971827,0.0720895650889663,0.183261575720615,0.0856076712003983,0.221175156523363,0.037256994376055,0.143907255476734,0.1784828299028,0.185679443924826,0.0814879390410839,0.213854945555494,0.0441854176214268,0.226725951270809,0.032630633933186,0.157464436191354,0.140555044980635,0.145385282158287,0.174017419858707,0.139692288909395,0.191676178160095,0.29249101546991,0.00541165905203687,0.234079651196786,0.0272542911783524,-0.0280983118242461,0.793796978921467,0.0704553590136434,0.511763410832104,0.171876510365708,0.107273989950421,-0.109361529339887,0.307636683536764,0.130720706224791,0.222074472828682,0.116969417111617,0.274991330768916,0.0475823205245495,0.657913371608411,0.0930808450143236,0.385616119280998
s__Eggerthella_lenta,-0.178325392259194,0.0945309640369205,-0.0911814241958544,0.395427554140531,-0.261788212109156,0.013205686444594,-0.0845768625276596,0.430678914271385,-0.0301740884557786,0.778939311898543,-0.123681592474515,0.248190704093999,-0.0845442401917899,0.430857362586663,-0.081416514285145,0.448161131369772,-0.150511320497973,0.159165904806668,-0.207037413159845,0.0515678381103505,-0.0965945389947781,0.367855851177701,-0.238906235046726,0.0241501612595402,-0.167078359808657,0.117593715910682,-0.104689761680988,0.328883314994673,-0.209160485566847,0.0491673081873598,-0.12938118879373,0.226889011169926,-0.115483876868783,0.281175785392893,-0.156977183624396,0.141803097664766,-0.161197522822332,0.131266964626155,-0.193037026379763,0.0699164954647939,-0.244991900717386,0.0206699642908513,-0.161511463484591,0.130507711241379,-0.201467036940256,0.0583273329531561,-0.104002408813992,0.332086352084847,-0.00606910085690867,0.954985801592533,0.00368033397955852,0.972694153451076,0.0408428320647643,0.703928950086946,-0.161776965022031,0.129868222870264
