# Pathway	E0000355_Abundance	E0000361_Abundance	E0000362_Abundance	E0000369_Abundance	E0000376_Abundance	E0000378_Abundance	E0000382_Abundance	E0000393_Abundance	E0000404_Abundance	E0000410_Abundance	E0000416_Abundance	E0000418_Abundance	E0000419_Abundance	E0000420_Abundance	E0000426_Abundance	E0000428_Abundance	E0000432_Abundance	E0000433_Abundance	E0000435_Abundance	E0000442_Abundance	E0000466_Abundance	E0000467_Abundance	E0000471_Abundance	E0000478_Abundance	E0000480_Abundance	E0000482_Abundance	E0000488_Abundance	E0000490_Abundance	E0000495_Abundance	E0000498_Abundance	E0000501_Abundance	E0000502_Abundance	E0000516_Abundance	E0000520_Abundance	E0000521_Abundance	E0000522_Abundance	E0000527_Abundance	E0000531_Abundance	E0000537_Abundance	E0000539_Abundance	E0000540_Abundance	E0001336_Abundance	E0001340_Abundance	E0001346_Abundance	PV101516_Abundance	PV101570_Abundance	PV101581_Abundance	PV101643_Abundance	PV101656_Abundance	PV101894_Abundance	PV101895_Abundance	PV101929_Abundance	PV101945_Abundance	PV101948_Abundance	PV101962_Abundance	PV102349_Abundance	PV102418_Abundance	PV102462_Abundance	PV102474_Abundance	PV102574_Abundance	PV102580_Abundance	PV19497_Abundance	PV19551_Abundance	PV19565_Abundance	PV19588_Abundance	PV19658_Abundance	PV19708_Abundance	PV19755_Abundance	PV19834_Abundance	PV19855_Abundance	PV19856_Abundance	PV19882_Abundance	PV19936_Abundance	PV19942_Abundance	PV19991_Abundance	PV20005_Abundance	PV20541_Abundance	PV20544_Abundance	PV20615_Abundance	PV21638_Abundance	PV21671_Abundance	PV21690_Abundance	PV21772_Abundance	PV21813_Abundance	PV21876_Abundance	PV23791_Abundance	PV23961_Abundance	PV24015_Abundance	PV49580_Abundance
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	1486.3949832715	1113.0699946698	2245.6161427225	1280.0102993853	881.7667992536	1321.9635284714	500.1348500122	61.8695779687	76.3978003206	24.5879789544	947.3799824938	395.6193338006	356.4963864091	986.2368386210	721.1716301245	738.6253910712	177.2564096831	2865.7281610713	1307.5122559474	266.6266092626	1877.9554732411	392.0491803148	1171.2538717633	725.2233388906	597.1031331006	1022.3339100482	2581.7496907520	16.4876346648	1301.3602931693	318.6932698230	442.5259983971	133.5361442957	211.1016263511	2598.2580119327	1480.4530657168	596.7823893714	655.7483281664	798.0875509160	732.2033055825	194.3047132075	1659.7990239662	209.6973141394	597.8254004409	989.1818875751	1044.1979597057	8.7566043911	19.2308991378	316.6938278635	1111.0532553550	256.4620864957	763.0704448549	2010.4492849371	76.3249284274	700.9602577762	353.6062698363	1293.1625448950	1104.6717336278	1346.2816730046	501.4631790957	961.4845730272	1153.2987725090	929.0786380777	243.1353686751	86.7916059925	1097.5233261450	219.9537718469	1197.7687366210	539.9933795764	928.5866038362	88.3562362090	1748.5364521856	1371.6195479544	824.4964723706	664.7585134585	317.5340021693	977.2431812241	473.5320016800	1858.6823621718	8.9472100200	2111.0122752592	530.9783752588	85.4102973925	423.3632286905	560.8522993969	1769.5402934594	1549.4414755120	695.1012833693	870.5431708350	1005.8731522094
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	4.5378733062	0	366.1698211553	0	0	252.8947319756	6.1063156993	0	62.2839962192	0	85.9965423337	29.6745229379	0	8.9667154651	0	42.5365775115	46.9584299597	462.4437801713	74.4536344755	86.9994129364	101.2732460986	0	25.3456304207	140.9882248471	105.4758067174	129.6834002731	0	0	0	0	120.0434117055	18.5931269396	271.0984587207	1572.3144553057	26.4720523066	33.3482653676	17.3758296139	90.0461823950	0	92.4813457021	412.6569460331	33.2529660250	23.8657435650	32.2858495304	7.6504787908	0	17.5149421425	9.4866318531	31.0565493043	2.3515128769	25.3166417079	17.3056670914	0	20.4467395094	0	143.9744718130	0	417.6640219414	0	57.9720766226	90.7768587791	0	26.2421792757	0	0	0	4.5913817738	42.9005653468	506.5745995764	46.3647168721	0	783.7501399771	0	164.3070828192	0	57.7186922265	28.1520972472	14.4607815340	0	1877.6707603272	47.6644030698	15.0381969745	0	0	979.1364281655	13.9491535474	4.4177403508	0	1433.7686937786
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	2099.0376153827	4272.2416617665	2201.0668607448	1479.6303985250	3876.9360609644	5063.8949491117	1867.0597836416	8838.7727979403	8560.2954173431	5395.2730839886	680.2595463842	2262.4568063389	3552.6679679205	3293.9339847569	3665.9021074951	1623.0133578661	4964.2791257889	647.7943187855	2002.7091880633	6199.1735818231	820.8176370958	2128.1674340301	1875.4489493563	3315.1103117130	4297.9226228267	718.0877392378	3387.9403365049	5665.9830890215	3754.3165402858	492.2159554676	4651.4160267654	3803.6464274340	7563.7592003943	491.9228958632	1516.6773700061	4452.1581979247	1976.7896201377	1349.4951343351	476.3846955073	7639.6769105161	4822.9265768470	2983.6019384939	3345.3980601009	265.8346331146	2494.8483811061	3484.5073365534	4917.8322085667	426.6390852375	6928.6976132412	675.0698931174	2548.0225483345	5230.9238821737	3911.4491186734	1090.4609349685	498.6017336160	721.1983466025	1845.8020408316	2115.8254978728	2467.6914900508	295.1675487231	3254.0972482807	476.0922886463	3362.2105362921	734.3303589533	1269.5317869216	5931.7326358753	778.1296142820	2129.0995068661	1007.7373925126	5231.2530694117	4657.5020301311	2569.4082451139	3988.6104608091	3870.2474817483	1820.9968575719	4253.3751964592	53.5010084283	5986.7309222368	6997.3889306717	698.9798303948	193.8194187974	4327.8647985486	5676.6297214142	6306.6141969455	662.2427591065	1918.4227020364	1077.0939521236	6493.9693000973	3926.4198638751
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0	0	0	0	0	311.6907761213	24.2914637909	0	68.5925375721	0	191.8293204328	64.1103871558	0	0	23.3762507308	21.8335624929	0	22.7641014124	151.0180207849	0	0	0	102.6993675486	101.8399433706	117.6651776593	145.0940919907	0	38.3836102034	33.4819805482	21.9885227853	23.1770373022	67.5139969783	23.0956194734	0	0	93.9165910924	81.7709055944	138.4546931777	0	72.5407093135	0	50.3635243248	119.0113918358	21.9002620927	44.0521130850	46.0025994638	0	45.7781900487	0	28.7511988700	95.4340874043	51.2731256274	32.2789153638	54.1408118984	11.3234061051	341.5846598362	0	65.0799942771	0	294.5494627057	0	0	95.1513233905	0	29.2650066622	0	56.5878775663	223.7096302429	320.0910457797	101.3213281740	126.3250181341	218.6065582067	0	181.2038176558	0	49.2162287731	0	0	0	21.9096277865	211.5064810419	0	0	0	175.4528721177	21.8590003512	45.2837877650	0	165.4801841555
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	1588.9277626679	4323.4728628974	4264.3531694253	2030.8237853861	1090.9983402710	7592.2390298767	2819.7112181288	2927.4279747451	1013.7327232414	1083.2164941072	3049.7971377041	3155.6057000567	3141.5277544562	950.4173448323	1348.1369118306	670.6676227993	1668.1446684189	5433.3041295085	4575.4905714126	5323.5864403735	5312.3052883254	2371.7830043169	1372.0271158089	4404.0095013619	4703.4096343944	3836.6088840220	1842.0229918287	1704.3275282475	1164.9797122964	1497.2159590809	4452.6905684693	2580.2690465829	2484.5758523740	5317.5581403882	3798.8802320352	5742.3203770485	3357.8577853464	5753.7882199872	663.6284475733	3644.7013301094	3133.6210336540	996.0544770172	796.6340135196	4402.0311416949	2556.8622123656	1277.2855434277	265.8284573503	961.1349719129	2296.4889389734	382.9820484953	1303.3292881073	3098.7793721547	578.9246230391	2955.3087203001	318.5812136555	5101.8206574497	1321.1341234074	4194.1932602796	304.8035574028	3328.6137629775	1298.9829151903	802.0342172250	3118.3526741428	198.1462855925	1918.2409167186	240.7540941659	1738.5512370566	1570.1716683391	4179.2135224159	2158.6873995164	4380.9370358404	4377.7563755842	1315.8773033443	4174.2084653155	2233.8029765853	4401.0032682529	1012.1515511134	1981.0820676834	487.4997575692	4877.3738682632	1807.4240085714	565.4786576526	738.8770089718	369.6845504560	4389.6041490545	4450.2334432284	1117.8019655578	1208.0215292630	5948.0694855458
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	282.8563352130	2848.6873531323	4949.1140714052	925.5736662883	457.3938465614	7000.3948543552	1588.1438493919	2822.7278610133	450.0351194448	469.6776634300	1573.7678835254	1672.7651879937	1600.9979431084	382.3393503802	602.1057953974	281.7168933111	1959.6937093475	6174.2186597017	3965.0464637229	4924.2078010084	4833.0195875719	1111.8668279326	596.8610635071	4321.6267242490	3419.4147993352	3620.0549031352	774.5595767453	1602.7247772577	487.8861154123	868.6573540817	3961.7178239564	1301.4131943976	3032.0963039124	6492.8187221382	3178.3779536021	3748.3118374539	2594.9984428585	4622.1484088202	295.4750429973	2790.0674199716	3338.6083398318	431.3542388154	319.0796139854	3864.8106010828	1583.5582158752	650.7942896435	105.6042902913	533.7784820338	1104.9772051482	159.8424159116	561.7772717113	2621.7941332896	147.6116144442	2502.2144810333	134.4802372135	5288.5228614125	609.1239435799	4743.4704471458	116.4216622012	2620.1882677329	607.2838362368	366.6925914252	2494.1847585535	76.2780096882	886.0030562652	29.5747749250	893.4468526979	690.3338529651	4914.3457719676	1913.9188419125	5296.3488421712	5169.8068517513	562.6975647994	3068.9696682931	1299.3619009050	3189.9092994960	400.5769588893	817.4419785985	199.8495112763	5974.7896291812	942.8840645422	294.1495450079	297.9735861820	87.1389058601	5313.0978744138	3370.9091448247	489.0570003645	548.1873131402	7082.1216714701
ARO-PWY: chorismate biosynthesis I	7156.1208579607	7552.8716463307	6559.0928029962	8263.0857805832	5022.3203828401	9072.3624515833	5692.4517052428	5001.4922415660	3980.4046133009	5787.6396719717	7175.9373405493	7416.1165013711	7553.6118065069	8106.3007085477	6907.2148066542	5934.9627176260	2411.8225069289	8136.5861266824	5682.7522429960	6438.5857577526	8235.7916102875	5494.5583645838	8473.6463344813	5057.8039007963	6851.9511463443	5949.2946094960	9342.9948268268	3363.1555686087	7587.1338959111	4126.6541444005	7848.1683391975	8066.2611511203	3414.2126020384	8923.1791581114	7468.1775442392	10878.5705211794	4805.6124559690	8709.0583326276	4239.4759430952	6952.6366124053	5538.2782452075	5077.6133346508	5924.8405221190	6076.2802590271	5516.8659752391	5465.6329592159	4251.4162200250	3370.8037541770	7546.6626473084	3256.6286225713	6298.0093437042	4715.4240945642	4625.7663014451	4502.6973450171	2436.5030953808	4997.8444868288	6021.2590148482	5273.7353893841	6705.7587909572	5093.0465977647	6041.4839944898	5559.2321462951	3466.8839055733	4004.3438407124	7533.9847291940	3238.7839095675	5054.3462844543	7530.6485218723	4718.5695409790	3852.3662134348	6319.9550727245	5288.4718359597	7112.6661392956	6877.7284957423	4663.0107855751	5840.2088049247	4008.8630862425	5345.2645475490	5611.2228119534	6819.1094142221	5232.9663105421	2528.7760857492	5772.9654404737	5026.4557730096	6607.2960408004	7875.9636548726	5409.3723198991	5020.6110822157	6546.2439171098
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	5035.9886405099	2746.7709622625	2567.2817019332	2732.1538322088	3754.9601067417	4300.1682916426	2252.0849745158	3239.4825553067	3172.5617781876	3241.5135350636	2457.7240163901	2398.2482758360	4752.1122308655	3918.4740988258	3795.0302889779	2945.4190625682	2734.9810173025	3073.7763284814	2573.2618910673	5596.9956017431	3297.6067184791	2078.2040490782	3237.6304703678	1868.7340482572	3624.3513037502	1895.7649310979	5231.6388298045	2163.6505436670	3722.8264630285	1107.5400086778	1696.5533307635	3612.9092642895	3697.9089734777	4417.7163169598	2627.8806329990	3317.8367556142	1911.3606925205	3154.4422759775	1336.8077958376	1814.3112107250	3961.5476515865	1958.9777939173	3599.9776186390	1241.3879206478	1557.3300093481	2202.1530151988	2873.1311392091	561.2305626759	3120.7923032563	955.6100183624	2878.8629684796	2827.8116171573	2698.9738462536	971.7017176207	882.5030621047	2169.4693185975	1494.4884079246	2568.6923755269	3226.4692715320	1045.3341699857	1964.2224405611	2157.9286112498	3297.7427857622	1140.2001418335	2179.8582375642	2981.2409662103	1264.2906962963	3667.6758627454	2619.4896698713	2879.3177233462	4507.8678609229	3493.3138491983	2992.2021940704	2662.1804859260	1781.8695174256	4493.1613304014	616.1926084314	4120.4663067118	2152.2203866233	4639.1791046603	932.2135411272	3039.8918007731	3371.7411463488	4176.4184933293	3664.3573528780	2183.0156017736	2577.1309446182	3242.8246055403	5054.5711969733
AST-PWY: L-arginine degradation II (AST pathway)	7.7213928583	22.2586998203	251.5875868624	0	0	168.7634557655	0	3.9440493974	79.1146481617	0	202.2730713195	140.3183780912	216.5882023670	9.5745532312	0	35.1120886214	48.7497707294	578.6190613149	53.4720366798	76.1152365466	55.2660350251	23.0299868197	12.9335845842	101.4047470001	51.9109822525	109.8043564516	0	4.1774684351	6.9014608399	13.3782721458	122.1862598772	15.8017152439	173.7976390073	1280.3712959578	15.8553007233	27.6045631030	12.0866086248	83.8598611498	0	68.1299039313	325.3557779739	22.1614865614	16.9088775578	22.6986097048	3.0495674243	0	18.8632071824	7.8330801295	27.2183686884	3.1884366033	21.5950757619	9.3291829140	0	16.9009236352	4.2096627952	175.4137743781	0	277.9591550372	2.3014959724	92.7327034399	41.0801197390	0	15.3800597576	0	0	0	2.2706630336	53.9195016996	427.4687358790	25.7993931184	453.8772702821	430.1574838291	0	131.3017050358	0	45.2270860140	24.2336163854	8.6466310146	0	1658.8325376326	40.2055563670	14.4122143965	0	0	713.2337979066	29.2955354564	5.6927658084	0	1164.5263860518
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	457.8482630310	938.5800887634	1077.5899542748	458.0735182131	377.4095419068	807.7618202382	1089.1368274946	118.9089451705	560.3634629115	398.6048373716	570.4817024711	720.4277169013	859.0713661613	205.5617377158	578.1677548871	294.8722230873	538.5027291614	2274.8671293113	416.4678241679	645.1671916407	1047.9621808700	336.4008730788	420.2583289954	753.5379518999	468.1883119667	919.5459508890	8.6936898300	255.8075074641	313.7907967977	149.8783264488	926.1415193070	282.3298770760	987.2159165925	3021.6701668057	419.4844555146	652.1201175578	259.0303492183	751.3532703179	132.5581395620	475.0708304763	1611.9811894986	317.0616003328	287.5518993440	123.9311249713	216.7759129497	198.5800003438	59.2690453946	152.6984472159	142.6672153987	313.7797890957	311.1518109173	1052.1161378388	553.0611463173	250.6031420172	54.0665323894	1116.9373388800	424.5046360116	1914.7534002039	45.9291189715	262.2374720904	480.3779929233	34.5429109485	491.8767591865	184.2920945953	179.2549294543	503.5906700744	269.1983898564	773.0026352998	1466.9779964844	409.3309173740	2083.1383731298	2006.4364644566	799.8746140412	993.8987601717	333.5528671563	383.2552659805	161.3230260025	357.4379884786	526.8476884628	3283.2136949280	325.4546682805	106.2239200096	313.1581063803	148.1053429444	2153.3052695252	268.0751126719	351.0861227612	449.3108211177	3101.7518669431
